Time_ms,Green_lp,Red_lp,IR_lp,Off_lp,,,
1656.488,1988.677013,3197.480199,2927.073343,1651.519352,,,
1664.208,1988.837374,3198.008233,2927.330149,1651.621457,,,
1672.295,1989.006542,3198.614672,2927.626245,1651.71542,,,
1680.382,1989.173029,3199.263659,2927.954816,1651.793567,,,
1688.469,1989.332029,3199.950926,2928.326925,1651.850251,,,
1696.189,1989.473994,3200.630163,2928.723285,1651.883867,,,
1704.276,1989.609598,3201.356924,2929.184583,1651.895909,,,
1712.363,1989.729554,3202.087381,2929.693883,1651.883563,,,
1720.45,1989.83515,3202.810257,2930.243302,1651.850556,,,
1728.17,1989.922268,3203.480599,2930.803185,1651.800378,,,
1736.257,1990.00344,3204.152918,2931.413898,1651.734297,,,
1744.344,1990.077815,3204.783753,2932.039529,1651.658556,,,
1752.431,1990.150884,3205.360614,2932.666095,1651.57878,,,
1760.487,1990.227901,3205.879309,2933.278163,1651.500659,,,
1768.207,1990.312116,3206.311384,2933.838144,1651.432069,,,
1776.294,1990.416015,3206.698042,2934.386348,1651.37021,,,
1784.381,1990.54127,3207.013472,2934.883232,1651.321597,,,
1792.468,1990.69384,3207.254319,2935.315332,1651.288756,,,
1800.188,1990.864769,3207.424474,2935.668289,1651.270684,,,
1808.275,1991.076461,3207.5351,2935.961537,1651.266644,,,
1816.362,1991.317898,3207.591659,2936.185298,1651.273498,,,
1824.449,1991.588617,3207.601108,2936.340767,1651.288091,,,
1832.169,1991.873068,3207.574769,2936.428541,1651.304852,,,
1840.256,1992.19137,3207.52524,2936.473037,1651.320383,,,
1848.343,1992.527534,3207.464215,2936.475534,1651.327585,,,
1856.43,1992.872922,3207.406814,2936.455639,1651.321814,,,
1864.486,1993.219581,3207.365323,2936.428015,1651.298628,,,
1872.206,1993.546258,3207.353951,2936.411196,1651.255018,,,
1880.293,1993.876317,3207.377663,2936.417185,1651.187347,,,
1888.38,1994.183864,3207.452186,2936.467496,1651.092856,,,
1896.467,1994.463693,3207.578803,2936.572096,1650.974724,,,
1904.187,1994.69915,3207.752141,2936.733398,1650.841157,,,
1912.274,1994.905864,3207.9921,2936.978981,1650.681803,,,
1920.361,1995.072506,3208.284772,2937.300836,1650.508017,,,
1928.448,1995.192761,3208.632331,2937.710793,1650.322788,,,
1936.535,1995.27174,3209.023739,2938.199888,1650.131615,,,
1944.255,1995.311056,3209.432299,2938.737627,1649.946769,,,
1952.342,1995.31816,3209.889823,2939.371744,1649.753735,,,
1960.429,1995.300672,3210.366295,2940.062529,1649.563053,,,
1968.485,1995.265797,3210.852102,2940.801211,1649.376667,,,
1976.205,1995.227418,3211.318677,2941.539726,1649.201012,,,
1984.292,1995.19198,3211.800989,2942.333335,1649.019426,,,
1992.379,1995.173764,3212.268329,2943.13193,1648.839047,,,
2000.466,1995.180793,3212.716209,2943.921153,1648.658553,,,
2008.186,1995.222778,3213.118245,2944.65016,1648.485151,,,
2016.273,1995.306871,3213.511166,2945.376839,1648.302144,,,
2024.36,1995.437279,3213.871232,2946.052202,1648.118237,,,
2032.447,1995.617893,3214.193673,2946.65994,1647.93524,,,
2040.534,1995.84254,3214.47944,2947.195794,1647.755693,,,
2048.254,1996.098602,3214.710934,2947.622133,1647.591649,,,
2056.341,1996.399502,3214.910173,2947.977937,1647.431494,,,
2064.428,1996.725659,3215.059918,2948.231238,1647.288383,,,
2072.484,1997.064139,3215.150509,2948.367459,1647.169924,,,
2080.204,1997.388786,3215.182989,2948.396501,1647.080913,,,
2088.291,1997.71421,3215.142321,2948.297602,1647.022896,,,
2096.378,1998.011572,3215.025111,2948.077356,1647.001231,,,
2104.465,1998.266916,3214.821364,2947.730577,1647.019911,,,
2112.552,1998.462145,3214.516143,2947.248529,1647.083998,,,
2120.272,1998.58843,3214.134924,2946.677952,1647.183416,,,
2128.359,1998.636818,3213.621191,2945.950585,1647.333344,,,
2136.446,1998.599404,3212.999332,2945.110318,1647.523455,,,
2144.533,1998.469327,3212.267749,2944.163312,1647.751426,,,
2152.253,1998.248329,3211.462545,2943.163394,1648.002467,,,
2160.34,1997.926985,3210.526867,2942.039374,1648.291229,,,
2168.427,1997.502777,3209.494744,2940.842091,1648.603087,,,
2176.483,1996.991956,3208.393998,2939.600696,1648.926955,,,
2184.203,1996.424446,3207.284877,2938.380347,1649.243066,,,
2192.29,1995.753443,3206.084289,2937.088421,1649.571811,,,
2200.377,1995.020866,3204.867464,2935.801547,1649.890966,,,
2208.464,1994.231658,3203.656923,2934.541009,1650.19116,,,
2216.551,1993.403319,3202.475763,2933.323585,1650.467068,,,
2224.271,1992.586292,3201.394293,2932.216312,1650.702981,,,
2232.358,1991.714251,3200.333895,2931.133626,1650.915261,,,
2240.445,1990.837981,3199.356281,2930.134264,1651.093076,,,
2248.532,1989.968747,3198.485801,2929.239124,1651.231535,,,
2256.252,1989.154681,3197.755757,2928.481081,1651.330786,,,
2264.339,1988.327067,3197.103395,2927.794001,1651.401678,,,
2272.426,1987.535766,3196.572698,2927.223557,1651.440815,,,
2280.482,1986.787327,3196.150517,2926.759098,1651.455191,,,
2288.569,1986.088092,3195.838519,2926.404862,1651.447197,,,
2296.289,1985.471746,3195.627336,2926.157128,1651.425133,,,
2304.376,1984.88565,3195.486489,2925.985622,1651.391377,,,
2312.463,1984.369853,3195.416749,2925.89775,1651.351615,,,
2320.55,1983.92215,3195.397291,2925.874605,1651.310765,,,
2328.27,1983.569701,3195.416592,2925.907833,1651.274701,,,
2336.357,1983.275361,3195.45916,2925.983038,1651.243261,,,
2344.444,1983.060584,3195.513243,2926.088701,1651.221034,,,
2352.531,1982.930359,3195.566915,2926.212981,1651.210835,,,
2360.251,1982.874457,3195.609899,2926.337511,1651.211893,,,
2368.338,1982.894767,3195.63694,2926.464426,1651.225982,,,
2376.425,1982.981134,3195.641612,2926.579248,1651.25062,,,
2384.512,1983.127225,3195.619682,2926.675206,1651.283675,,,
2392.232,1983.315886,3195.569239,2926.742137,1651.319842,,,
2400.319,1983.548326,3195.487918,2926.786044,1651.357873,,,
2408.406,1983.807353,3195.37306,2926.796857,1651.390436,,,
2416.462,1984.074854,3195.229419,2926.777027,1651.412238,,,
2424.549,1984.339951,3195.057566,2926.726737,1651.418491,,,
2432.269,1984.575154,3194.869049,2926.650105,1651.403886,,,
2440.356,1984.793913,3194.653156,2926.546364,1651.366692,,,
2448.443,1984.9691,3194.421998,2926.419828,1651.302172,,,
2456.53,1985.095981,3194.184447,2926.278139,1651.213062,,,
2464.25,1985.167019,3193.958877,2926.134017,1651.106863,,,
2472.337,1985.183659,3193.734156,2925.980908,1650.97693,,,
2480.424,1985.147876,3193.529703,2925.832996,1650.835369,,,
2488.511,1985.058199,3193.359578,2925.699729,1650.688872,,,
2496.598,1984.926732,3193.232425,2925.588692,1650.546531,,,
2504.318,1984.77075,3193.15985,2925.510322,1650.421682,,,
2512.405,1984.586066,3193.148296,2925.467275,1650.311753,,,
2520.461,1984.394623,3193.202727,2925.466252,1650.227567,,,
2528.548,1984.208434,3193.337201,2925.518028,1650.17697,,,
2536.268,1984.04837,3193.537189,2925.61675,1650.160811,,,
2544.355,1983.910252,3193.82331,2925.774837,1650.178794,,,
2552.442,1983.815064,3194.189742,2925.992805,1650.23263,,,
2560.529,1983.765969,3194.624897,2926.264483,1650.315278,,,
2568.249,1983.772124,3195.105965,2926.578064,1650.418392,,,
2576.336,1983.831289,3195.665106,2926.955464,1650.541966,,,
2584.423,1983.94475,3196.274071,2927.380507,1650.673692,,,
2592.51,1984.111606,3196.925705,2927.851112,1650.803541,,,
2600.597,1984.320888,3197.607515,2928.358514,1650.923039,,,
2608.317,1984.557031,3198.28171,2928.876734,1651.018246,,,
2616.404,1984.830186,3199.003021,2929.447947,1651.092868,,,
2624.46,1985.119602,3199.731102,2930.04245,1651.136825,,,
2632.547,1985.417041,3200.465876,2930.662256,1651.145375,,,
2640.267,1985.698318,3201.166551,2931.269983,1651.123867,,,
2648.354,1985.98025,3201.895466,2931.922434,1651.067581,,,
2656.441,1986.242671,3202.616285,2932.585901,1650.984544,,,
2664.528,1986.479726,3203.326137,2933.25722,1650.879646,,,
2672.615,1986.68471,3204.021007,2933.932466,1650.759034,,,
2680.335,1986.852001,3204.66965,2934.576538,1650.637246,,,
2688.422,1986.992474,3205.328468,2935.24553,1650.509215,,,
2696.509,1987.101748,3205.965034,2935.903805,1650.387595,,,
2704.596,1987.181885,3206.576443,2936.546241,1650.277561,,,
2712.316,1987.232498,3207.131379,2937.1375,1650.188873,,,
2720.403,1987.265728,3207.683875,2937.731756,1650.113572,,,
2728.459,1987.281088,3208.198444,2938.289323,1650.060518,,,
2736.546,1987.285719,3208.680342,2938.812749,1650.02767,,,
2744.266,1987.284649,3209.107125,2939.275247,1650.014766,,,
2752.353,1987.283312,3209.51763,2939.715891,1650.019919,,,
2760.44,1987.286695,3209.895638,2940.115014,1650.040317,,,
2768.527,1987.300822,3210.240059,2940.468228,1650.075181,,,
2776.614,1987.329836,3210.557178,2940.781268,1650.120998,,,
2784.334,1987.374994,3210.838139,2941.045909,1650.17327,,,
2792.421,1987.445835,3211.113193,2941.290564,1650.236035,,,
2800.508,1987.541091,3211.375125,2941.51159,1650.305394,,,
2808.595,1987.665771,3211.627667,2941.714921,1650.38184,,,
2816.315,1987.811392,3211.865043,2941.902423,1650.461267,,,
2824.402,1987.992121,3212.113486,2942.10048,1650.551948,,,
2832.458,1988.201518,3212.364593,2942.310098,1650.651446,,,
2840.545,1988.436347,3212.622604,2942.540248,1650.760624,,,
2848.632,1988.695256,3212.889529,2942.800984,1650.881161,,,
2856.352,1988.959331,3213.153634,2943.083138,1651.006803,,,
2864.439,1989.249152,3213.440988,2943.418192,1651.149832,,,
2872.526,1989.547035,3213.740731,2943.799994,1651.305293,,,
2880.613,1989.84639,3214.051971,2944.225156,1651.471554,,,
2888.333,1990.127688,3214.36123,2944.675522,1651.640716,,,
2896.42,1990.412116,3214.69717,2945.188136,1651.826906,,,
2904.507,1990.681153,3215.045796,2945.739509,1652.021053,,,
2912.594,1990.928873,3215.408723,2946.326945,1652.221761,,,
2920.314,1991.145325,3215.767796,2946.91264,1652.417025,,,
2928.401,1991.346588,3216.160626,2947.549898,1652.623501,,,
2936.457,1991.524219,3216.569179,2948.200241,1652.82813,,,
2944.544,1991.681561,3216.998815,2948.863365,1653.029538,,,
2952.631,1991.821074,3217.452283,2949.531267,1653.222465,,,
2960.351,1991.944645,3217.906806,2950.16851,1653.396179,,,
2968.438,1992.069958,3218.411054,2950.83113,1653.56102,,,
2976.525,1992.199615,3218.942772,2951.485396,1653.705235,,,
2984.612,1992.341064,3219.502075,2952.128482,1653.824719,,,
2992.332,1992.496234,3220.062385,2952.728191,1653.909333,,,
3000.419,1992.683167,3220.670125,2953.341186,1653.968024,,,
3008.506,1992.903625,3221.295599,2953.933695,1653.98944,,,
